,release_month,pl_nnotes,pl_controv_flag,elat,elon,glat,cb_flag,glon,ra,dec,ttv_flag,sy_pnum,sy_snum,release_year,pl_ndispec,pl_ntranspec,pl_nespec,st_nspec,st_nrvc,st_nphot,disc_year,sy_vmag,sy_tmag,sy_jmag,sy_hmag,sy_kmag,sy_pmra,sy_pmdec,sy_pm,sy_gaiamag,sy_bmag,st_rad,sy_dist,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_plx,st_teff,pl_orbper,sy_kepmag,st_mass,soltype_Kepler Project Candidate (q1_q12_koi),soltype_Kepler Project Candidate (q1_q16_koi),soltype_Kepler Project Candidate (q1_q17_dr24_koi),soltype_Kepler Project Candidate (q1_q17_dr25_koi),soltype_Kepler Project Candidate (q1_q8_koi),soltype_Published Candidate,soltype_Published Confirmed,disc_telescope_0.10 m Schmidt Telescope,disc_telescope_0.18 m Takahashi Epsilon Astrograph,disc_telescope_0.95 m Kepler Telescope,disc_telescope_Canon 200mm f/1.8L,disc_telescope_Canon 400mm f/2.8L,discoverymethod_Orbital Brightness Modulation,discoverymethod_Transit,discoverymethod_Transit Timing Variations,disc_instrument_2K CCD Sensor,disc_instrument_Apogee 4K CCD Sensor,disc_instrument_FLI ProLine 4K CCD Sensor,disc_instrument_Kepler CCD Array,disc_instrument_iKon-L CCD Camera,disc_facility_HATNet,disc_facility_HATSouth,disc_facility_K2,disc_facility_Kepler,disc_facility_Qatar,disc_facility_SuperWASP,disc_facility_SuperWASP-South,disc_facility_TrES,disc_locale_Ground,disc_locale_Space
537,10,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2018,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.98,244.59,10.299,10.355,10.38,8.423,4.06029,5617.0,0.571331,11.958,0.97,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
538,2,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2018,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.906429,244.59,10.299,10.355,10.38,8.423,4.06029,5590.0,0.571299,11.958,0.966939,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
540,2,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2025,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.99,244.59,10.299,10.355,10.38,8.423,4.06029,5578.0,0.5713127,11.958,0.913,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
541,8,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2019,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.981,244.59,10.299,10.355,10.38,8.423,4.06029,5496.0,0.571,11.958,0.902,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
543,1,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2017,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.83,244.59,10.299,10.355,10.38,8.423,4.06029,5590.0,0.571308,11.958,0.93,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
545,6,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2018,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.869,244.59,10.299,10.355,10.38,8.423,4.06029,5470.0,0.571292,11.958,0.945,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
548,12,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2017,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.95,244.59,10.299,10.355,10.38,8.423,4.06029,5496.0,13.3387,11.958,0.92,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
549,6,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2018,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.869,244.59,10.299,10.355,10.38,8.423,4.06029,5470.0,13.3397,11.958,0.945,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
550,2,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2018,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.906429,244.59,10.299,10.355,10.38,8.423,4.06029,5590.0,13.339746,11.958,0.966939,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
551,9,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2025,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.995,244.59,10.299,10.355,10.38,8.423,4.06029,5496.0,13.33918,11.958,0.91,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
552,2,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2025,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.99,244.59,10.299,10.355,10.38,8.423,4.06029,5578.0,13.33989,11.958,0.913,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
553,10,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2018,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.98,244.59,10.299,10.355,10.38,8.423,4.06029,5617.0,13.339079,11.958,0.97,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
555,4,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2023,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.988,244.59,10.299,10.355,10.38,8.423,4.06029,5532.0,13.3397,11.958,0.95,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
556,1,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2017,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.83,244.59,10.299,10.355,10.38,8.423,4.06029,5590.0,13.341245,11.958,0.93,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
561,9,0,0,1.28515,186.50682,60.81426,0,289.77763,186.4860415,-1.4047214,0,1,1,2025,0,0,0,0,0,0,2023.0,10.23,9.63123,9.061,8.805,8.725,-129.128,-34.0561,133.5434698,10.0494,10.755,0.998,121.971,8.653,8.704001,8.664,8.231,8.17036,5839.0,16.1388,10.151,0.95,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
563,8,0,0,1.28515,186.50682,60.81426,0,289.77763,186.4860415,-1.4047214,0,1,1,2018,0,0,0,0,0,0,2023.0,10.23,9.63123,9.061,8.805,8.725,-129.128,-34.0561,133.5434698,10.0494,10.755,0.995311,121.971,8.653,8.704001,8.664,8.231,8.17036,5886.0,16.13655,10.151,1.067,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
1393,3,0,0,-8.16256,128.65614,27.75424,0,215.48946,128.9256885,10.2065866,0,1,1,2019,0,0,0,0,0,0,2012.0,13.279,12.7656,12.146,11.809,11.764,-9.05086,-13.6857,16.4078168,13.2165,14.098,1.103,528.825,11.732,11.799,11.694,8.768,1.86227,5645.0,3.332687,13.214,1.048,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1400,5,0,0,-8.16256,128.65614,27.75424,0,215.48946,128.9256885,10.2065866,0,1,1,2014,0,0,0,0,0,0,2012.0,13.279,12.7656,12.146,11.809,11.764,-9.05086,-13.6857,16.4078168,13.2165,14.098,1.103,528.825,11.732,11.799,11.694,8.768,1.86227,5645.0,3.332687,13.214,1.048,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1469,3,0,0,2.34958,98.93049,8.89777,0,188.78409,99.8979924,25.4824005,0,1,1,2019,0,0,0,0,0,0,2015.0,13.398,12.2341,11.145,10.487,10.326,-0.0732176,-33.237,33.2370806,13.0172,14.832,0.617,143.651,10.282,10.342,10.195,8.677,6.93252,4390.0,3.799847,13.6,0.645,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1490,7,0,0,4.17585,99.65368,10.42964,0,187.53757,100.8480137,27.2521823,0,1,1,2015,0,0,0,0,0,1,2015.0,10.92,10.5136,10.068,9.881,9.83,-8.16147,-22.9542,24.3619558,10.8245,11.291,1.428,320.639,9.799,9.833,9.83,8.516,3.09123,6566.0,2.7908327,10.9,1.296,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1491,3,0,0,4.17585,99.65368,10.42964,0,187.53757,100.8480137,27.2521823,0,1,1,2019,0,0,0,0,0,1,2015.0,10.92,10.5136,10.068,9.881,9.83,-8.16147,-22.9542,24.3619558,10.8245,11.291,1.428,320.639,9.799,9.833,9.83,8.516,3.09123,6566.0,2.7908327,10.9,1.296,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
