,0
cb_flag st_nphot,0.0
cb_flag st_nrvc,0.0
cb_flag pl_controv_flag,0.0
cb_flag disc_year,0.0
cb_flag sy_tmag,0.0
cb_flag sy_kmag,0.0
cb_flag sy_jmag,0.0
cb_flag sy_hmag,0.0
cb_flag sy_vmag,0.0
cb_flag sy_pm,0.0
cb_flag sy_pmdec,-0.0
cb_flag sy_pmra,0.0
cb_flag pl_orbper,0.0
cb_flag sy_gaiamag,0.0
cb_flag st_rad,0.0
cb_flag sy_bmag,0.0
cb_flag sy_dist,0.0
cb_flag st_teff,0.0
cb_flag sy_w2mag,0.0
cb_flag sy_w1mag,0.0
cb_flag sy_w3mag,0.0
cb_flag sy_w4mag,0.0
cb_flag sy_plx,0.0
cb_flag st_logg,0.0
cb_flag st_mass,0.0
cb_flag soltype_Kepler Project Candidate (q1_q17_dr25_koi),0.0
cb_flag soltype_Published Confirmed,0.0
cb_flag pl_tsystemref_BJD,0.0
cb_flag pl_tsystemref_BJD-TDB,-0.0
cb_flag pl_tsystemref_BJD-UTC,0.0
cb_flag pl_tsystemref_HJD,0.0
cb_flag pl_tsystemref_JD,0.0
ttv_flag^2,0.0
ttv_flag pl_nnotes,0.0
ttv_flag elon,0.0
ttv_flag elat,0.0
ttv_flag glon,0.0
ttv_flag glat,0.0
ttv_flag dec,0.0
ttv_flag ra,0.0
ttv_flag st_nspec,0.0
ttv_flag pl_nespec,0.0
ttv_flag pl_ntranspec,0.0
ttv_flag pl_ndispec,0.0
ttv_flag release_year,0.0
ttv_flag st_nphot,-0.0
ttv_flag st_nrvc,-0.0
ttv_flag pl_controv_flag,-0.0
ttv_flag disc_year,0.0
ttv_flag sy_tmag,0.0
ttv_flag sy_kmag,0.0
ttv_flag sy_jmag,0.0
ttv_flag sy_hmag,0.0
ttv_flag sy_vmag,0.0
ttv_flag sy_pm,0.0
ttv_flag sy_pmdec,-0.0
ttv_flag sy_pmra,-0.0
ttv_flag pl_orbper,0.0
ttv_flag sy_gaiamag,0.0
ttv_flag st_rad,0.0
ttv_flag sy_bmag,0.0
ttv_flag sy_dist,0.0
ttv_flag st_teff,0.0
ttv_flag sy_w2mag,0.0
ttv_flag sy_w1mag,0.0
ttv_flag sy_w3mag,0.0
ttv_flag sy_w4mag,0.0
ttv_flag sy_plx,0.0
ttv_flag st_logg,0.0
ttv_flag st_mass,0.0
ttv_flag soltype_Kepler Project Candidate (q1_q17_dr25_koi),0.0
ttv_flag soltype_Published Confirmed,0.0
ttv_flag pl_tsystemref_BJD,-0.0
ttv_flag pl_tsystemref_BJD-TDB,0.0
ttv_flag pl_tsystemref_BJD-UTC,0.0
ttv_flag pl_tsystemref_HJD,0.0
ttv_flag pl_tsystemref_JD,0.0
pl_nnotes^2,-0.0
pl_nnotes elon,0.0
pl_nnotes elat,-0.0
pl_nnotes glon,0.0
pl_nnotes glat,-0.0
pl_nnotes dec,-0.0
pl_nnotes ra,0.0
pl_nnotes st_nspec,0.0
pl_nnotes pl_nespec,0.0
pl_nnotes pl_ntranspec,0.0
pl_nnotes pl_ndispec,0.0
pl_nnotes release_year,0.0
pl_nnotes st_nphot,0.0
pl_nnotes st_nrvc,0.0
pl_nnotes pl_controv_flag,-0.0
pl_nnotes disc_year,0.0
pl_nnotes sy_tmag,0.0
pl_nnotes sy_kmag,0.0
pl_nnotes sy_jmag,0.0
pl_nnotes sy_hmag,0.0
pl_nnotes sy_vmag,0.0
pl_nnotes sy_pm,-0.0
pl_nnotes sy_pmdec,-0.0
pl_nnotes sy_pmra,-0.0
pl_nnotes pl_orbper,0.0
pl_nnotes sy_gaiamag,0.0
pl_nnotes st_rad,0.0
pl_nnotes sy_bmag,0.0
pl_nnotes sy_dist,0.0
pl_nnotes st_teff,0.0
pl_nnotes sy_w2mag,0.0
pl_nnotes sy_w1mag,0.0
pl_nnotes sy_w3mag,0.0
pl_nnotes sy_w4mag,0.0
pl_nnotes sy_plx,-0.0
pl_nnotes st_logg,0.0
pl_nnotes st_mass,0.0
pl_nnotes soltype_Kepler Project Candidate (q1_q17_dr25_koi),0.0
pl_nnotes soltype_Published Confirmed,0.0
pl_nnotes pl_tsystemref_BJD,0.0
pl_nnotes pl_tsystemref_BJD-TDB,0.0
pl_nnotes pl_tsystemref_BJD-UTC,-0.0
pl_nnotes pl_tsystemref_HJD,0.0
pl_nnotes pl_tsystemref_JD,-0.0
elon^2,-0.0
elon elat,-0.0
elon glon,-0.0
elon glat,-0.0
elon dec,-0.0
elon ra,-0.0
elon st_nspec,0.0
elon pl_nespec,0.0
elon pl_ntranspec,0.0
elon pl_ndispec,0.0
elon release_year,-0.0
elon st_nphot,0.0
elon st_nrvc,0.0
elon pl_controv_flag,-0.0
elon disc_year,-0.0
elon sy_tmag,-0.0
elon sy_kmag,-0.0
elon sy_jmag,-0.0
elon sy_hmag,-0.0
elon sy_vmag,-0.0
elon sy_pm,-0.0
elon sy_pmdec,-0.0
elon sy_pmra,-0.0
elon pl_orbper,0.0
elon sy_gaiamag,-0.0
elon st_rad,0.0
elon sy_bmag,-0.0
elon sy_dist,0.0
elon st_teff,-0.0
elon sy_w2mag,-0.0
elon sy_w1mag,-0.0
elon sy_w3mag,-0.0
elon sy_w4mag,-0.0
elon sy_plx,-0.0
elon st_logg,-0.0
elon st_mass,-0.0
elon soltype_Kepler Project Candidate (q1_q17_dr25_koi),-0.0
elon soltype_Published Confirmed,0.0
elon pl_tsystemref_BJD,0.0
elon pl_tsystemref_BJD-TDB,0.0
elon pl_tsystemref_BJD-UTC,-0.0
elon pl_tsystemref_HJD,0.0
elon pl_tsystemref_JD,-0.0
elat^2,-0.0
elat glon,-0.0
elat glat,-0.0
elat dec,-0.0
elat ra,-0.0
elat st_nspec,0.0
elat pl_nespec,0.0
elat pl_ntranspec,0.0
elat pl_ndispec,0.0
elat release_year,-0.0
elat st_nphot,0.0
elat st_nrvc,0.0
elat pl_controv_flag,-0.0
elat disc_year,-0.0
elat sy_tmag,-0.0
elat sy_kmag,-0.0
elat sy_jmag,-0.0
elat sy_hmag,-0.0
elat sy_vmag,-0.0
elat sy_pm,-0.0
elat sy_pmdec,-0.0
elat sy_pmra,-0.0
elat pl_orbper,0.0
elat sy_gaiamag,-0.0
elat st_rad,-0.0
elat sy_bmag,-0.0
elat sy_dist,0.0
elat st_teff,-0.0
elat sy_w2mag,-0.0
elat sy_w1mag,-0.0
elat sy_w3mag,-0.0
elat sy_w4mag,-0.0
elat sy_plx,-0.0
elat st_logg,-0.0
elat st_mass,-0.0
elat soltype_Kepler Project Candidate (q1_q17_dr25_koi),-0.0
elat soltype_Published Confirmed,-0.0
elat pl_tsystemref_BJD,0.0
elat pl_tsystemref_BJD-TDB,0.0
elat pl_tsystemref_BJD-UTC,-0.0
elat pl_tsystemref_HJD,0.0
elat pl_tsystemref_JD,-0.0
glon^2,0.0
glon glat,-0.0
glon dec,-0.0
glon ra,-0.0
glon st_nspec,0.0
glon pl_nespec,0.0
glon pl_ntranspec,0.0
glon pl_ndispec,0.0
glon release_year,0.0
glon st_nphot,0.0
glon st_nrvc,0.0
glon pl_controv_flag,-0.0
glon disc_year,0.0
glon sy_tmag,0.0
glon sy_kmag,0.0
glon sy_jmag,0.0
glon sy_hmag,0.0
glon sy_vmag,0.0
glon sy_pm,-0.0
glon sy_pmdec,-0.0
glon sy_pmra,-0.0
glon pl_orbper,0.0
glon sy_gaiamag,0.0
glon st_rad,0.0
glon sy_bmag,0.0
glon sy_dist,0.0
glon st_teff,0.0
glon sy_w2mag,0.0
glon sy_w1mag,0.0
glon sy_w3mag,0.0
glon sy_w4mag,0.0
glon sy_plx,-0.0
glon st_logg,0.0
glon st_mass,0.0
glon soltype_Kepler Project Candidate (q1_q17_dr25_koi),-0.0
glon soltype_Published Confirmed,0.0
glon pl_tsystemref_BJD,-0.0
glon pl_tsystemref_BJD-TDB,0.0
glon pl_tsystemref_BJD-UTC,-0.0
glon pl_tsystemref_HJD,0.0
glon pl_tsystemref_JD,-0.0
glat^2,-0.0
glat dec,-0.0
glat ra,-0.0
glat st_nspec,0.0
glat pl_nespec,0.0
glat pl_ntranspec,0.0
glat pl_ndispec,0.0
glat release_year,-0.0
glat st_nphot,0.0
glat st_nrvc,0.0
glat pl_controv_flag,-0.0
glat disc_year,-0.0
glat sy_tmag,-0.0
glat sy_kmag,-0.0
glat sy_jmag,-0.0
glat sy_hmag,-0.0
glat sy_vmag,-0.0
glat sy_pm,-0.0
glat sy_pmdec,-0.0
glat sy_pmra,-0.0
glat pl_orbper,0.0
glat sy_gaiamag,-0.0
glat st_rad,-0.0
glat sy_bmag,-0.0
glat sy_dist,-0.0
glat st_teff,-0.0
glat sy_w2mag,-0.0
glat sy_w1mag,-0.0
glat sy_w3mag,-0.0
glat sy_w4mag,-0.0
glat sy_plx,-0.0
glat st_logg,-0.0
glat st_mass,-0.0
glat soltype_Kepler Project Candidate (q1_q17_dr25_koi),-0.0
glat soltype_Published Confirmed,-0.0
glat pl_tsystemref_BJD,-0.0
glat pl_tsystemref_BJD-TDB,0.0
glat pl_tsystemref_BJD-UTC,-0.0
glat pl_tsystemref_HJD,0.0
glat pl_tsystemref_JD,-0.0
dec^2,-0.0
dec ra,-0.0
dec st_nspec,0.0
dec pl_nespec,0.0
dec pl_ntranspec,0.0
dec pl_ndispec,0.0
dec release_year,-0.0
dec st_nphot,0.0
dec st_nrvc,0.0
dec pl_controv_flag,-0.0
dec disc_year,-0.0
dec sy_tmag,-0.0
dec sy_kmag,-0.0
dec sy_jmag,-0.0
dec sy_hmag,-0.0
dec sy_vmag,-0.0
dec sy_pm,-0.0
dec sy_pmdec,-0.0
dec sy_pmra,-0.0
dec pl_orbper,0.0
dec sy_gaiamag,-0.0
dec st_rad,-0.0
dec sy_bmag,-0.0
dec sy_dist,0.0
dec st_teff,-0.0
dec sy_w2mag,-0.0
dec sy_w1mag,-0.0
dec sy_w3mag,-0.0
dec sy_w4mag,-0.0
dec sy_plx,-0.0
dec st_logg,-0.0
dec st_mass,-0.0
dec soltype_Kepler Project Candidate (q1_q17_dr25_koi),-0.0
dec soltype_Published Confirmed,-0.0
dec pl_tsystemref_BJD,-0.0
dec pl_tsystemref_BJD-TDB,0.0
dec pl_tsystemref_BJD-UTC,-0.0
dec pl_tsystemref_HJD,0.0
dec pl_tsystemref_JD,-0.0
ra^2,-0.0
ra st_nspec,0.0
ra pl_nespec,0.0
ra pl_ntranspec,0.0
ra pl_ndispec,0.0
ra release_year,-0.0
ra st_nphot,0.0
ra st_nrvc,0.0
ra pl_controv_flag,-0.0
ra disc_year,-0.0
ra sy_tmag,-0.0
ra sy_kmag,-0.0
ra sy_jmag,-0.0
ra sy_hmag,-0.0
ra sy_vmag,-0.0
ra sy_pm,-0.0
ra sy_pmdec,-0.0
ra sy_pmra,-0.0
ra pl_orbper,0.0
ra sy_gaiamag,-0.0
ra st_rad,0.0
ra sy_bmag,-0.0
ra sy_dist,0.0
ra st_teff,-0.0
ra sy_w2mag,-0.0
ra sy_w1mag,-0.0
ra sy_w3mag,-0.0
ra sy_w4mag,-0.0
ra sy_plx,-0.0
ra st_logg,-0.0
ra st_mass,-0.0
ra soltype_Kepler Project Candidate (q1_q17_dr25_koi),-0.0
ra soltype_Published Confirmed,0.0
ra pl_tsystemref_BJD,0.0
ra pl_tsystemref_BJD-TDB,0.0
ra pl_tsystemref_BJD-UTC,-0.0
ra pl_tsystemref_HJD,0.0
ra pl_tsystemref_JD,-0.0
st_nspec^2,0.0
st_nspec pl_nespec,0.0
st_nspec pl_ntranspec,0.0
st_nspec pl_ndispec,0.0
st_nspec release_year,0.0
st_nspec st_nphot,0.0
st_nspec st_nrvc,0.0
st_nspec pl_controv_flag,0.0
st_nspec disc_year,0.0
st_nspec sy_tmag,0.0
st_nspec sy_kmag,0.0
st_nspec sy_jmag,0.0
st_nspec sy_hmag,0.0
st_nspec sy_vmag,0.0
st_nspec sy_pm,0.0
st_nspec sy_pmdec,-0.0
st_nspec sy_pmra,0.0
st_nspec pl_orbper,0.0
st_nspec sy_gaiamag,0.0
st_nspec st_rad,0.0
st_nspec sy_bmag,0.0
st_nspec sy_dist,0.0
st_nspec st_teff,0.0
st_nspec sy_w2mag,0.0
st_nspec sy_w1mag,0.0
st_nspec sy_w3mag,0.0
st_nspec sy_w4mag,0.0
st_nspec sy_plx,0.0
st_nspec st_logg,0.0
st_nspec st_mass,0.0
st_nspec soltype_Kepler Project Candidate (q1_q17_dr25_koi),0.0
st_nspec soltype_Published Confirmed,0.0
st_nspec pl_tsystemref_BJD,0.0
st_nspec pl_tsystemref_BJD-TDB,0.0
st_nspec pl_tsystemref_BJD-UTC,0.0
st_nspec pl_tsystemref_HJD,0.0
st_nspec pl_tsystemref_JD,0.0
pl_nespec^2,0.0
pl_nespec pl_ntranspec,0.0
pl_nespec pl_ndispec,0.0
pl_nespec release_year,0.0
pl_nespec st_nphot,0.0
pl_nespec st_nrvc,0.0
pl_nespec pl_controv_flag,0.0
pl_nespec disc_year,0.0
pl_nespec sy_tmag,0.0
pl_nespec sy_kmag,0.0
pl_nespec sy_jmag,0.0
pl_nespec sy_hmag,0.0
pl_nespec sy_vmag,0.0
pl_nespec sy_pm,0.0
pl_nespec sy_pmdec,-0.0
pl_nespec sy_pmra,-0.0
pl_nespec pl_orbper,0.0
pl_nespec sy_gaiamag,0.0
pl_nespec st_rad,0.0
pl_nespec sy_bmag,0.0
pl_nespec sy_dist,0.0
pl_nespec st_teff,0.0
pl_nespec sy_w2mag,0.0
pl_nespec sy_w1mag,0.0
pl_nespec sy_w3mag,0.0
pl_nespec sy_w4mag,0.0
pl_nespec sy_plx,0.0
pl_nespec st_logg,0.0
