,release_month,sy_snum,sy_pnum,cb_flag,ttv_flag,pl_nnotes,elon,elat,glon,glat,dec,ra,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,release_year,st_nphot,st_nrvc,pl_controv_flag,disc_year,sy_tmag,sy_kmag,sy_jmag,sy_hmag,sy_vmag,sy_pm,sy_pmdec,sy_pmra,pl_orbper,sy_gaiamag,st_rad,sy_bmag,sy_dist,st_teff,sy_w2mag,sy_w1mag,sy_w3mag,sy_w4mag,sy_plx,st_logg,st_mass,soltype_Kepler Project Candidate (q1_q17_dr25_koi),soltype_Published Confirmed,pl_tsystemref_BJD,pl_tsystemref_BJD-TDB,pl_tsystemref_BJD-UTC,pl_tsystemref_HJD,pl_tsystemref_JD,log radius
544,4,1,2,0,0,3,16.22269,4.78443,123.28442,-52.07644,10.7947051,13.0800239,0,0,0,0,2026,0,0,0,2016.0,11.4574,10.344,10.77,10.454,12.101,61.004017,2.2394,60.9629,0.57130782,11.9535,0.99,12.576,244.59,5578.0,10.355,10.299,10.38,8.423,4.06029,4.408,0.913,False,True,True,False,False,False,False,0.20574554094266218
546,4,1,2,0,0,3,16.22269,4.78443,123.28442,-52.07644,10.7947051,13.0800239,0,0,0,0,2026,0,0,0,2016.0,11.4574,10.344,10.77,10.454,12.101,61.004017,2.2394,60.9629,13.340603,11.9535,0.99,12.576,244.59,5578.0,10.355,10.299,10.38,8.423,4.06029,4.408,0.913,False,True,True,False,False,False,False,0.43328968519502575
564,10,2,1,0,0,2,79.29037,-6.74975,186.97531,-12.64088,16.2786991,78.9198197,0,0,0,0,2018,0,0,0,2018.0,10.8243,9.893,10.199,9.967,11.237,13.2641483,-12.9828,2.71745,6.180235,11.2549,1.586,12.067,372.632,6202.0,9.816,9.813,9.754,8.609,2.66391,4.157,1.317,False,True,False,True,False,False,False,1.0711695851928937
567,7,1,1,0,0,0,156.52699,2.9375,232.28858,55.10278,11.8427484,159.3890808,0,0,0,0,2019,0,0,0,2018.0,11.594,10.148,10.765,10.235,12.353,38.7618964,1.21019,-38.743,3650.0,12.1722,2.7,13.327,551.886,4898.0,10.175,10.121,10.151,8.318,1.78346,3.52,0.9,False,True,True,False,False,False,False,1.094889847951309
568,2,1,3,0,0,0,230.36326,1.15614,345.11043,34.30816,-16.7246474,228.2482353,0,0,0,0,2020,0,0,0,2020.0,10.8872,9.714,10.216,9.8,11.429,36.8679057,-34.2865,13.5528,3.5951,11.4019,1.71,12.333,321.296,5430.0,9.728,9.691,9.716,8.611,3.08429,3.99,1.05,False,True,False,True,False,False,False,0.290034611362518
569,2,1,3,0,0,0,230.36326,1.15614,345.11043,34.30816,-16.7246474,228.2482353,0,0,0,0,2020,0,0,0,2020.0,10.8872,9.714,10.216,9.8,11.429,36.8679057,-34.2865,13.5528,15.624,11.4019,1.71,12.333,321.296,5430.0,9.728,9.691,9.716,8.611,3.08429,3.99,1.05,False,True,False,True,False,False,False,0.5646660642520893
570,2,1,3,0,0,0,230.36326,1.15614,345.11043,34.30816,-16.7246474,228.2482353,0,0,0,0,2020,0,0,0,2020.0,10.8872,9.714,10.216,9.8,11.429,36.8679057,-34.2865,13.5528,35.747,11.4019,1.71,12.333,321.296,5430.0,9.728,9.691,9.716,8.611,3.08429,3.99,1.05,False,True,False,True,False,False,False,0.5954962218255742
2012,7,1,2,0,0,1,183.33896,1.01948,283.25037,61.03534,-0.3934357,183.4724742,0,0,0,0,2019,0,0,0,2017.0,8.56338,7.853,8.116,7.962,8.951,12.2799626,11.9879,-2.66228,9.55237,8.88841,1.296,9.4,109.353,6327.0,7.85,7.794,7.839,8.168,9.11629,4.252,1.091,False,True,False,True,False,False,False,0.3873898263387294
2028,7,1,2,0,1,0,183.33896,1.01948,283.25037,61.03534,-0.3934357,183.4724742,0,0,1,0,2019,0,0,0,2017.0,8.56338,7.853,8.116,7.962,8.951,12.2799626,11.9879,-2.66228,21.05704,8.88841,1.296,9.4,109.353,6327.0,7.85,7.794,7.839,8.168,9.11629,4.252,1.091,False,True,False,True,False,False,False,0.6384892569546373
2347,11,1,2,0,0,0,233.54602,2.22095,348.34536,32.32096,-16.5090014,231.7420543,0,0,0,0,2021,0,0,0,2021.0,9.29961,8.244,8.646,8.366,9.899,51.1671169,-46.8641,20.5385,1.62116,9.77168,1.59,10.667,155.317,5799.0,8.229,8.186,8.192,8.173,6.41091,4.05,1.04,False,True,True,False,False,False,False,0.11727129565576427
3235,9,1,3,0,0,0,356.86669,-3.79196,89.24153,-63.8099,-4.7233362,358.6390056,0,0,0,0,2025,0,0,0,2025.0,9.08781,8.145001,8.496,8.189,9.715,112.876772,-8.19356,-112.579,36.57669,9.52137,1.147,10.326,105.48,5784.0,8.111,8.073,8.095,8.079001,9.45209,4.32,1.013,False,True,True,False,False,False,False,0.38381536598043126
3236,9,1,3,0,0,0,356.86669,-3.79196,89.24153,-63.8099,-4.7233362,358.6390056,0,0,0,0,2025,0,0,0,2025.0,9.08781,8.145001,8.496,8.189,9.715,112.876772,-8.19356,-112.579,138.0731,9.52137,1.147,10.326,105.48,5784.0,8.111,8.073,8.095,8.079001,9.45209,4.32,1.013,False,True,True,False,False,False,False,0.38021124171160603
3831,6,1,3,0,0,0,125.94923,5.06302,201.24412,33.43766,23.6852651,129.6894456,0,0,0,0,2024,1,0,0,2024.0,6.3687,5.567,5.836,5.64,6.89351,156.1167168,-148.778,-47.3026,15.611,6.7468,1.22,7.438,35.26,6252.6,5.421,5.582,5.619,5.536,28.3319,4.372,1.2,False,True,True,False,False,False,False,0.45999525604739144
4014,8,1,1,0,0,5,152.84386,-0.35361,230.80783,50.24653,10.1288464,154.6710977,0,0,0,0,2018,1,0,0,2018.0,8.74761,7.721,8.091,7.766,9.38,42.7843106,-42.4488,5.34758,11.8143,9.21702,1.747,10.149,132.345,5576.0,7.759,7.673,7.729,7.757,7.52747,4.016,1.157,False,True,False,True,False,False,False,0.8691108047065201
4143,10,2,1,0,0,1,354.62238,2.80941,86.45885,-56.97306,0.4447043,353.9543517,0,0,0,0,2024,1,0,0,2014.0,9.3742,8.029,8.604,8.14,10.19,299.043235,-187.564,-232.909,9.1004157,9.93208,0.758,11.083,62.4491,5048.0,8.078,7.996,8.019,7.878,15.9843,4.582,0.8,False,True,False,True,False,False,False,0.39252108993193224
4177,9,1,6,0,0,0,126.45937,-8.84499,214.5263,25.64577,10.0803708,126.6158279,0,0,1,0,2025,1,0,0,2016.0,8.4642,7.722,7.982,7.786,8.93,48.1425366,0.059352,-48.1425,15.57208,8.80998,1.273,9.416,106.289,6320.0,7.732,7.662,7.732,7.86,9.37994,4.294,1.16,False,True,True,False,False,False,False,0.4141373621844767
4178,9,1,6,0,1,0,126.45937,-8.84499,214.5263,25.64577,10.0803708,126.6158279,0,0,0,0,2025,1,0,0,2016.0,8.4642,7.722,7.982,7.786,8.93,48.1425366,0.059352,-48.1425,31.70603,8.80998,1.273,9.416,106.289,6320.0,7.732,7.662,7.732,7.86,9.37994,4.294,1.16,False,True,True,False,False,False,False,0.4356851379416299
4185,9,1,6,0,0,0,126.45937,-8.84499,214.5263,25.64577,10.0803708,126.6158279,0,0,0,0,2025,1,0,0,2016.0,8.4642,7.722,7.982,7.786,8.93,48.1425366,0.059352,-48.1425,278.3618,8.80998,1.273,9.416,106.289,6320.0,7.732,7.662,7.732,7.86,9.37994,4.294,1.16,False,True,True,False,False,False,False,0.5490032620257879
4187,9,1,6,0,0,0,126.45937,-8.84499,214.5263,25.64577,10.0803708,126.6158279,0,0,0,0,2025,1,0,0,2016.0,8.4642,7.722,7.982,7.786,8.93,48.1425366,0.059352,-48.1425,369.0,8.80998,1.273,9.416,106.289,6320.0,7.732,7.662,7.732,7.86,9.37994,4.294,1.16,False,True,True,False,False,False,False,0.6919651027673603
